                              GENEMARK PREDICTIONS

Sequence: 14_2_c3
Sequence file: query.fas
Sequence length: 36016
GC Content:  29.04%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 30
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

      25       144  complement  fr 3   0.62  0.62  
      25       141  complement  fr 3   0.62  0.49  

     178       435  direct      fr 1   0.61  0.36  

     452      1447  direct      fr 2   0.77  0.17  
     485      1447  direct      fr 2   0.80  0.17  
     500      1447  direct      fr 2   0.80  0.41  
     515      1447  direct      fr 2   0.80  0.92  

    2363      3073  direct      fr 2   0.77  0.63  
    2504      3073  direct      fr 2   0.82  0.04  
    2618      3073  direct      fr 2   0.83  0.08  
    2663      3073  direct      fr 2   0.82  0.11  
    2828      3073  direct      fr 2   0.78  0.23  

    3759      4079  direct      fr 3   0.71  0.01  
    3924      4079  direct      fr 3   0.61  0.00  

    4771      5070  direct      fr 1   0.65  0.20  
    4831      5070  direct      fr 1   0.76  0.57  
    4897      5070  direct      fr 1   0.70  0.22  

    4949      5794  direct      fr 2   0.74  0.04  
    5030      5794  direct      fr 2   0.81  0.73  
    5081      5794  direct      fr 2   0.81  0.09  
    5258      5794  direct      fr 2   0.76  0.39  

    6087      6323  direct      fr 3   0.53  0.50  
    6153      6323  direct      fr 3   0.58  0.38  

    6310      7077  direct      fr 1   0.89  0.75  

    7074      7337  direct      fr 3   0.54  0.58  
    7161      7337  direct      fr 3   0.64  0.05  

    7334      7657  direct      fr 2   0.63  0.80  
    7358      7657  direct      fr 2   0.68  0.64  

    7799      8056  direct      fr 2   0.52  0.59  
    7841      8056  direct      fr 2   0.62  0.82  

    8384      8740  direct      fr 2   0.58  0.81  

    8751      9017  direct      fr 3   0.54  0.45  
    8769      9017  direct      fr 3   0.57  0.33  
    8853      9017  direct      fr 3   0.73  0.83  
    8889      9017  direct      fr 3   0.66  0.14  
    8913      9017  direct      fr 3   0.60  0.03  

    9038      9346  direct      fr 2   0.71  0.38  
    9095      9346  direct      fr 2   0.80  0.47  

    9348      9737  direct      fr 3   0.74  0.68  
