                              GENEMARK PREDICTIONS

Sequence: phi4:1 length=146105
Sequence file: /Users/mbsulli/neofelis/genomes/Phi-4-1.fas
Sequence length: 146105
GC Content:  32.62%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 32
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

       1       459  complement  fr 3   0.83  0.73  
       1       456  complement  fr 3   0.86  0.58  
       1       399  complement  fr 3   0.94  0.18  
       1       222  complement  fr 3   0.88  0.22  

     425      1498  complement  fr 1   0.55  0.05  
     425      1165  complement  fr 1   0.60  0.05  
     425       847  complement  fr 1   0.70  0.26  
     425       700  complement  fr 1   0.67  0.05  
     425       637  complement  fr 1   0.67  0.65  

    1897      3063  complement  fr 3   0.65  0.87  
    1897      2655  complement  fr 3   0.67  0.03  
    1897      2550  complement  fr 3   0.64  0.09  
    1897      2541  complement  fr 3   0.63  0.07  

    3038      4387  complement  fr 1   0.68  0.01  
    3038      4276  complement  fr 1   0.66  0.01  
    3038      4093  complement  fr 1   0.63  0.16  

    4578      5621  complement  fr 2   0.77  0.96  
    4578      5582  complement  fr 2   0.78  0.04  
    4578      5555  complement  fr 2   0.77  0.35  
    4578      4892  complement  fr 2   0.71  0.45  

    5667      6392  complement  fr 2   0.75  0.44  
    5667      6362  complement  fr 2   0.75  0.58  
    5667      6194  complement  fr 2   0.67  0.25  

    6978      7652  complement  fr 2   0.67  0.28  
    6978      7460  complement  fr 2   0.67  0.08  
    6978      7400  complement  fr 2   0.69  0.54  
    6978      7337  complement  fr 2   0.70  0.02  

    7767      8831  complement  fr 2   0.71  0.30  
    7767      8534  complement  fr 2   0.71  0.31  
    7767      8507  complement  fr 2   0.70  0.49  
    7767      8420  complement  fr 2   0.70  0.83  

    8785      9177  complement  fr 3   0.52  0.38  
    8785      9012  complement  fr 3   0.59  0.14  

    9205     10950  complement  fr 3   0.77  0.02  
    9205     10857  complement  fr 3   0.77  0.08  
    9205     10215  complement  fr 3   0.83  0.82  

   11552     12214  complement  fr 1   0.78  0.96  
   11552     12154  complement  fr 1   0.80  0.01  
